Группа,Преподаватель,Подгруппа,Дисциплина,Кабинет,Время,Дата
2367,Мещерякова Д.М.,1.2,Разговоры о важном,121,08.00 - 08.35,27.04.2026
2367,Мещерякова Д.М.,1.2,"МДК.04.02 Процессы приготовления, подготовки к реализации горячих и холодных сладких блюд, десертов, напитков",121,8.45-9.30 9.50-10.35,27.04.2026
2367,Мещерякова Д.М.,1.2,"МДК.04.02 Процессы приготовления, подготовки к реализации горячих и холодных сладких блюд, десертов, напитков",121,10.55-11.40 12.05-12.50,27.04.2026
2367,Вострецова Н.В.,1.2,Консультация ОПЦ.08 Безопасность жизнедеятельности,112,13.05-13.50 14.00-14.45,27.04.2026
2472,Ефимов А.Н.,1.2,Разговоры о важном,104а,08.00 - 08.35,27.04.2026
2472,Григораш А.В.,1.2,ОДБ.05 География,150,8.45-9.30 9.50-10.35,27.04.2026
2472,Вахрамеева С.Н.,1.2,ОДП.12 Физика,206,10.55-11.40 12.05-12.50,27.04.2026
2472,Григораш А.В.,1.2,ОДБ.05 География,150,13.05-13.50 14.00-14.45,27.04.2026
2473,Готман А.Ф.,1.2,Разговоры о важном,202,08.00 - 08.35,27.04.2026
2473,Азиатцев Е.С.,1.2,"МДК.02.02 Выполение работ по профессии ""Тракторист-машинист сельскохозяйственного производства B, C, D, E ,F""",117,8.45-9.30 9.50-10.35,27.04.2026
2473,Зылёв А.Д.,1.2,ОДБ.07 Информатика,209,10.55-11.40 12.05-12.50,27.04.2026
2473,Зылёв А.Д.,1.2,ОДБ.07 Информатика,209,13.05-13.50 14.00-14.45,27.04.2026
2474,Вострецова Н.В.,1.2,СГ.03 Безопасность жизнедеятельности,ЭО,8.45-9.30 9.50-10.35,27.04.2026
2474,Вострецова Н.В.,1.2,СГ.03 Безопасность жизнедеятельности,ЭО,10.55-11.40 12.05-12.50,27.04.2026
2474,Косичкин Т.В.,1.2,МДК.03.01 Техника и технология частично механизированной сварки (наплавки) плавлением в защитном газе,ЭО,13.05-13.50 14.00-14.45,27.04.2026
2475,Полякова М.В.,1.2,Разговоры о важном,250а,08.00 - 08.35,27.04.2026
2475,Машер В.В.,1.2,МДК.02.02 Настройка и сопровождение программного обеспечения сетевых устройств инфокоммуникационных систем,207,8.45-9.30 9.50-10.35,27.04.2026
2475,Бурундуков Е.В.,1.2,ОДБ.05 География,122,10.55-11.40 12.05-12.50,27.04.2026
2475,Машер В.В.,1.2,МДК.02.02 Настройка и сопровождение программного обеспечения сетевых устройств инфокоммуникационных систем,207,13.05-13.50 14.00-14.45,27.04.2026
2476,Проломова Е.Н.,1.2,Разговоры о важном,239,08.00 - 08.35,27.04.2026
2476,Пилипук В.А.,1,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,8.45-9.30 9.50-10.35,27.04.2026
2476,Пилипук В.А.,2,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,8.45-9.30 9.50-10.35,27.04.2026
2476,Пилипук В.А.,1,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,10.55-11.40 12.05-12.50,27.04.2026
2476,Пилипук В.А.,2,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,10.55-11.40 12.05-12.50,27.04.2026
2476,Пилипук В.А.,1,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,13.05-13.50 14.00-14.45,27.04.2026
2476,Пилипук В.А.,2,"УП.03.01 Учебная практика ""Текущий ремонт различных типов автомобилей""""",гараж,13.05-13.50 14.00-14.45,27.04.2026
2577,Вахрамеева С.Н.,1.2,Разговоры о важном,206,08.00 - 08.35,27.04.2026
2577,Алта В.В.,1.2,"УП.01.01 Учебная практика "" Выполнение каменных работ""",104а,8.45-9.30 9.50-10.35,27.04.2026
2577,Алта В.В.,1.2,"УП.01.01 Учебная практика "" Выполнение каменных работ""",104а,10.55-11.40 12.05-12.50,27.04.2026
2577,Алта В.В.,1.2,"УП.01.01 Учебная практика "" Выполнение каменных работ""",104а,13.05-13.50 14.00-14.45,27.04.2026
2578,Бакланова Е.В.,1.2,Разговоры о важном,122,08.00 - 08.35,27.04.2026
2578,Коробова Ю.А.,1.2,СГ.05 Основы финансовой грамотности,245,8.45-9.30 9.50-10.35,27.04.2026
2578,Шмелёва А.В.,1.2,ОДП.11 Математика,247,10.55-11.40 12.05-12.50,27.04.2026
2578,Седякина Д.Ю.,1.2,ОДБ.06 Иностранный язык,библ,13.05-13.50 14.00-14.45,27.04.2026
2579,Рубкалева А.Р.,1.2,Разговоры о важном,117,08.00 - 08.35,27.04.2026
2579,Косичкин Т.В.,1.2,МДК.01.02 Технология производства сварных конструкций,105,8.45-9.30 9.50-10.35,27.04.2026
2579,Косичкин Т.В.,1.2,МДК.01.02 Технология производства сварных конструкций,105,10.55-11.40 12.05-12.50,27.04.2026
2579,Абакумов А.В.,1.2,МДК.01.03 Подготовительные и сборочные операции перед сваркой,117,13.05-13.50 14.00-14.45,27.04.2026
2580,Бурундуков Е.В.,1.2,Разговоры о важном,125,08.00 - 08.35,27.04.2026
2580,Деньгуб А.А.,1.2,ОДП.11 Математика,135,8.45-9.30 9.50-10.35,27.04.2026
2580,Пуртова А.В.,1.2,ОДБ.03 История,240,10.55-11.40 12.05-12.50,27.04.2026
2580,Деньгуб А.А.,1.2,ОДП.11 Математика,135,13.05-13.50 14.00-14.45,27.04.2026
2581,Богданов М.В.,1.2,Разговоры о важном,203,08.00 - 08.35,27.04.2026
2581,Вахрамеева С.Н.,1.2,ОДП.12 Физика,206,8.45-9.30 9.50-10.35,27.04.2026
2581,Богданов М.В.,1.2,ОДБ.10 Химия,203,10.55-11.40 12.05-12.50,27.04.2026
2581,Богданов М.В.,1.2,ОДБ.10 Химия,203,13.05-13.50 14.00-14.45,27.04.2026
2582,Седякина Д.Ю.,1.2,Разговоры о важном,250,08.00 - 08.35,27.04.2026
2582,Начметдинов Р.О.,1.2,"МДК.01.01 Организация приготовления, подготовки к реализации и хранения кулинарных полуфабрикатов",122,8.45-9.30 9.50-10.35,27.04.2026
2582,Начметдинов Р.О.,1.2,"Консультация  МДК.01.02 Процессы приготовления, подготовки к реализации кулинарных полуфабрикатов",239,10.55-11.40 12.05-12.50,27.04.2026
2582,Начметдинов Р.О.,1.2,"Консультация  МДК.01.02 Процессы приготовления, подготовки к реализации кулинарных полуфабрикатов",239,13.05-13.50 14.00-14.45,27.04.2026
2583,Богданов М.В.,1.2,ОДБ.10 Химия,ЭО,8.45-9.30 9.50-10.35,27.04.2026
2583,Панфилова О.Л.,1.2,ОДП.01 Литература,ЭО,10.55-11.40 12.05-12.50,27.04.2026
2583,Зылёва Я.Ф.,1.2,МДК.01.02 Информационно-коммуникационные технологии в делопроизводстве,ЭО,13.05-13.50 14.00-14.45,27.04.2026
А24-1,Коробова Ю.А.,1.2,МДК.01.04 Управление структурным подразделением сельскохозяйственной организации,250а,8.00-8.45 8.55-9.40,28.04.2026
А24-1,Пуртова А.В.,1.2,БД.03 История,240,10.00-10.45 11.05-11.50,28.04.2026
А24-1,Пуртова А.В.,1.2,БД.03 История,240,12.15-13.00 13.15-14.00,28.04.2026
Д24-5,Васькина Н.И.,1.2,МДК.01.03 Организация секретарского обслуживания,136,14.55-15.40 15.50-16.35,28.04.2026
Д24-5,Васькина Н.И.,1.2,МДК.01.03 Организация секретарского обслуживания,136,8.00-8.45 8.55-9.40,28.04.2026
Д24-5,Зылёва Я.Ф.,1.2,ОПЦ.07 Компьютерная обработка документов,136,10.00-10.45 11.05-11.50,28.04.2026
Д24-5,Григораш А.В.,1.2,БД.04 География,150,12.15-13.00 13.15-14.00,28.04.2026
Д24-5,Зылёва Я.Ф.,1.2,ОПЦ.07 Компьютерная обработка документов,136,14.10-14.55 15.05-15.50,28.04.2026
ДО22-5,Мартемьянова С.В.,1.2,ПМ.05 Методическое обеспечение образовательного процесса,250,8.00-8.45 8.55-9.40,28.04.2026
ДО22-5,Мартемьянова С.В.,1.2,ПМ.05 Методическое обеспечение образовательного процесса,250,10.00-10.45 11.05-11.50,28.04.2026
ДО22-5,Мартемьянова С.В.,1.2,ПМ.05 Методическое обеспечение образовательного процесса,250,12.15-13.00 13.15-14.00,28.04.2026
ДО24-6,Мартемьянова С.В.,1.2,МДК.02.03 Теоретические и методические основы организации продуктивных видов деятельности детей раннего и дошкольного возраста с практикумом,250,14.55-15.40 15.50-16.35,28.04.2026
ДО24-6,Седякина Д.Ю.,1.2,СГ.02 Иностранный язык в профессиональной деятельности,122,8.00-8.45 8.55-9.40,28.04.2026
ДО24-6,Седякина Д.Ю.,1.2,СГ.02 Иностранный язык в профессиональной деятельности,122,10.00-10.45 11.05-11.50,28.04.2026
ДО24-6,Богданов М.В.,1.2,БД.11 Химия,203,12.15-13.00 13.15-14.00,28.04.2026
ДО24-6,Мартемьянова С.В.,1.2,МДК.02.04 Практикум по художественной обработке материалов и изобразительному искусству,250,14.10-14.55 15.05-15.50,28.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,8.00-8.45 8.55-9.40,28.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,10.00-10.45 11.05-11.50,28.04.2026
ПКД22-3,Улыбина Н.Г.,1.2,ПДП ПРОИЗВОДСТВЕННАЯ ПРАКТИКА (ПРЕДДИПЛОМНАЯ),,12.15-13.00 13.15-14.00,28.04.2026
ПКД24-4,Григораш А.В.,1.2,ПД.13 Биология,150,14.55-15.40 15.50-16.35,28.04.2026
ПКД24-4,Григораш А.В.,1.2,ПД.13 Биология,150,8.00-8.45 8.55-9.40,28.04.2026
ПКД24-4,Григораш А.В.,1.2,ПД.13 Биология,150,10.00-10.45 11.05-11.50,28.04.2026
ПКД24-4,Полякова М.В.,1.2,БД.03 История,250а,12.15-13.00 13.15-14.00,28.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,8.00-8.45 8.55-9.40,28.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,10.00-10.45 11.05-11.50,28.04.2026
ПП24-15,Ефимов А.Н.,1.2,"УП.01 Учебная практика ""Выполнение каменных работ""",102,12.15-13.00 13.15-14.00,28.04.2026
ПП24-16,Мещерякова Д.М.,1.2,"МДК. 05.01Организация приготовления, подготовки к реализации хлебобулочных, мучных кондитерских изделий",140а,8.00-8.45 8.55-9.40,28.04.2026
ПП24-16,Начметдинов Р.О.,1.2,"МДК.05.02 Процессы приготовления, подготовки к реализации хлебобулочных, мучных кондитерских изделий",140а,10.00-10.45 11.05-11.50,28.04.2026
ПП24-16,Начметдинов Р.О.,1.2,"МДК.05.02 Процессы приготовления, подготовки к реализации хлебобулочных, мучных кондитерских изделий",140а,12.15-13.00 13.15-14.00,28.04.2026
ПП25-17,Богданова О.А.,1.2,АДП.01 Коммуникативный практикум,библ,8.00-8.45 8.55-9.40,28.04.2026
ПП25-17,Бабкина М.В.,1.2,АДП.02 Социальная адаптация и основы социально-правовых знаний,библ,10.00-10.45 11.05-11.50,28.04.2026
